time_step,served_cumulative,expired_cumulative,queued_current
275,177,92,8
276,177,93,8
277,177,93,8
278,179,93,9
279,179,94,8
280,179,95,8
281,179,95,8
282,180,95,9
283,182,95,9
284,183,95,8
285,184,95,8
286,186,95,8
287,186,95,7
288,186,95,8
289,187,96,9
290,187,96,8
291,190,96,9
292,190,96,7
293,190,97,8
294,191,97,8
295,192,97,8
296,192,97,8
297,192,97,9
298,193,98,10
299,194,99,9
300,194,99,8
301,194,99,9
302,195,100,10
303,196,100,9
304,196,101,9
305,197,102,9
306,198,102,8
307,198,103,8
308,198,103,8
309,199,103,9
310,199,104,9
311,199,104,9
312,200,104,10
313,200,105,10
314,201,106,10
315,203,107,9
316,204,107,7
317,205,107,7
318,205,107,7
319,205,107,8
320,205,107,9
321,206,107,10
322,207,108,10
323,208,109,9
324,208,109,8
325,209,110,9
326,209,110,8
327,209,110,9
328,210,110,10
329,211,110,10
330,212,111,10
331,213,112,9
332,213,112,8
333,215,112,9
334,215,112,8
335,215,112,9
336,218,113,10
337,218,113,7
338,218,113,8
339,218,114,9
340,220,114,9
341,222,114,8
342,223,115,7
343,223,115,6
344,223,115,7
345,224,115,8
346,225,115,8
347,227,115,8
348,227,116,7
349,227,117,7
350,228,117,7
351,229,117,7
352,229,117,7
353,230,117,8
354,231,118,8
355,231,118,7
356,232,119,8
357,232,119,7
358,232,119,8
359,232,119,9
360,232,120,10
361,235,121,10
362,237,121,7
363,237,121,6
364,238,121,7
365,238,121,7
366,238,121,8
367,238,121,9
368,240,121,10
369,242,122,9
370,243,122,7
371,244,122,7
372,244,122,7
373,245,122,8
374,245,122,8
375,245,122,9
376,246,122,10
377,247,123,10
378,249,123,9
379,250,124,8
380,250,124,7
381,250,124,8
382,250,124,9
383,250,125,10
384,251,125,10
385,251,126,10
386,252,126,10
387,254,127,10
388,255,127,8
389,256,127,8
390,256,127,8
391,256,128,9
392,257,129,9
393,257,130,8
394,258,130,8
395,258,130,8
396,258,130,9
397,259,131,10
398,260,131,9
399,260,132,9
400,260,133,9
401,260,134,9
402,261,134,9
403,261,135,9
404,263,135,9
405,264,135,8
406,264,136,8
407,265,136,8
408,265,136,8
409,267,136,9
410,269,136,8
411,269,137,7
412,269,138,7
413,270,138,7
414,271,138,7
415,272,138,7
416,273,138,7
417,273,138,7
418,273,138,8
419,275,138,9
420,275,138,8
421,276,138,9
422,277,139,9
423,278,139,8
424,278,139,8
425,278,139,9
426,279,140,10
427,280,140,9
428,281,140,9
429,281,140,9
430,282,141,10
431,282,142,9
432,283,143,9
433,283,143,8
434,283,143,9
435,284,144,10
436,284,145,9
437,286,145,9
438,288,145,8
439,288,145,7
440,288,145,8
441,289,145,9
442,291,145,9
443,292,145,8
444,293,145,8
445,293,146,8
446,293,147,8
447,293,147,8
448,293,148,9
449,295,148,9
450,296,148,8
451,296,148,8
452,297,148,9
453,298,149,9
454,298,149,8
455,298,149,9
456,299,150,10
457,299,151,9
458,302,151,9
459,302,151,7
460,302,152,8
461,302,152,8
462,302,152,9
463,303,152,10
464,303,153,10
465,304,154,10
466,307,154,9
467,308,154,7
468,308,154,7
469,309,154,8
470,310,155,8
471,311,155,7
472,311,155,7
473,312,155,8
474,312,155,8
475,313,155,9
476,313,156,9
477,314,156,9
478,316,156,9
479,316,156,8
480,316,157,9
481,318,158,9
482,318,158,7
483,320,158,8
484,320,158,7
485,321,158,8
486,322,159,8
487,322,159,7
488,322,160,8
489,322,160,8
490,322,160,9
491,325,160,10
492,325,160,8
493,328,160,9
494,328,161,7
495,329,161,7
496,330,161,7
497,331,161,7
498,331,161,7
499,332,161,8
500,332,162,8
501,333,163,8
502,333,163,7
503,334,163,8
504,335,164,8
505,336,164,7
506,336,164,7
507,337,165,8
508,338,165,7
509,338,165,7
510,339,165,8
511,339,165,8
512,340,165,9
513,341,165,9
514,342,166,9
515,344,166,8
516,344,166,7
517,344,166,8
518,345,166,9
519,346,166,9
520,346,167,9
521,347,167,9
522,347,168,9
523,347,168,9
524,349,168,10
525,350,168,9
526,351,168,9
527,351,169,9
528,351,169,9
529,352,170,10
530,354,170,9
531,357,170,8
532,357,170,6
533,358,171,7
534,358,171,6
535,358,171,7
536,358,171,8
537,359,171,9
538,360,171,9
539,360,172,9
540,361,173,9
541,362,174,8
542,362,174,7
543,363,174,8
544,363,174,8
545,363,174,9
546,363,175,10
547,364,175,10
548,365,176,10
549,366,176,9
550,368,176,9
551,368,177,8
552,368,177,8
553,368,177,9
554,369,177,10
555,370,178,10
556,371,179,9
557,371,179,8
558,371,179,9
559,371,180,10
560,371,181,10
561,372,182,10
562,374,182,9
563,375,182,8
564,375,182,8
565,375,183,9
566,375,183,9
567,377,184,10
568,378,184,8
569,378,184,8
570,378,184,9
571,378,185,10
572,379,186,10
573,379,187,9
574,380,187,9
575,381,187,9
576,382,188,9
577,382,188,8
578,382,188,9
579,382,189,10
580,382,190,10
581,383,191,10
582,384,191,9
583,384,191,9
584,384,192,10
585,386,192,10
586,386,192,9
587,386,193,10
588,386,194,10
589,388,194,10
590,389,194,9
591,390,194,9
592,390,195,9
593,391,196,9
594,391,197,8
595,391,197,8
596,391,198,9
597,391,198,9
598,391,199,10
599,392,200,10
600,393,201,9
