time_step,served_cumulative,expired_cumulative,queued_current
1,0,0,2
2,0,0,3
3,0,0,4
4,0,0,5
5,1,0,6
6,1,0,6
7,3,0,7
8,3,0,6
9,3,0,7
10,3,0,8
11,4,0,9
12,4,0,9
13,5,1,10
14,5,2,9
15,7,2,9
16,7,2,8
17,7,3,9
18,7,4,9
19,7,4,9
20,8,5,10
21,8,6,9
22,9,6,9
23,9,6,9
24,10,7,10
25,12,8,9
26,12,8,7
27,13,8,8
28,14,8,8
29,14,8,8
30,14,9,9
31,15,9,9
32,15,9,9
33,16,10,10
34,17,11,9
35,17,12,8
36,17,12,8
37,17,12,9
38,18,13,10
39,18,13,9
40,19,14,10
41,20,15,9
42,21,15,8
43,21,15,8
44,22,16,9
45,22,17,8
46,22,17,8
47,23,17,9
48,23,18,9
49,23,19,9
50,23,19,9
51,25,20,10
52,25,20,8
53,26,21,9
54,26,21,8
55,27,22,9
56,27,23,8
57,27,24,8
58,27,24,8
59,29,24,9
60,29,24,8
61,31,24,9
62,31,25,8
63,31,25,8
64,32,26,9
65,35,26,8
66,35,26,6
67,35,26,7
68,36,26,8
69,36,26,8
70,37,26,9
71,39,26,9
72,40,26,8
73,40,27,8
74,42,27,8
75,42,27,7
76,42,27,8
77,42,28,9
78,42,28,9
79,43,29,10
80,43,30,9
81,44,30,9
82,44,30,9
83,44,31,10
84,45,32,10
85,46,33,9
86,46,33,8
87,46,34,9
88,46,34,9
89,47,35,10
90,47,35,9
91,48,36,10
92,48,37,9
93,49,37,9
94,50,37,9
95,50,38,9
96,52,39,9
97,52,39,7
98,53,39,8
99,53,39,8
100,54,39,9
101,55,39,9
102,57,39,9
103,58,39,8
104,58,39,8
105,59,39,9
106,59,40,9
107,60,41,9
108,60,41,8
109,62,41,9
110,62,41,8
111,62,41,9
112,62,42,10
113,62,43,10
114,65,44,10
115,65,44,7
116,65,44,8
117,67,44,9
118,68,45,8
119,68,45,7
120,69,45,8
121,69,46,8
122,69,46,8
123,69,47,9
124,70,47,9
125,71,47,9
126,73,47,9
127,73,47,8
128,73,48,9
129,73,49,9
130,73,49,9
131,74,50,10
132,74,51,9
133,75,51,9
134,75,52,9
135,75,53,9
136,75,53,9
137,76,54,10
138,77,54,9
139,78,54,9
140,79,54,9
141,79,54,9
142,80,55,10
143,81,56,9
144,81,57,8
145,82,57,8
146,84,58,8
147,84,58,6
148,85,58,7
149,85,58,7
150,86,58,8
151,88,58,8
152,88,58,7
153,88,58,8
154,88,58,9
155,88,59,10
156,88,60,10
157,89,61,10
158,89,62,9
159,90,63,9
160,90,63,8
161,91,64,9
162,93,64,8
163,94,64,7
164,94,64,7
165,94,65,8
166,94,65,8
167,97,65,9
168,97,65,7
169,99,65,8
170,99,66,7
171,99,66,7
172,100,66,8
173,102,66,8
174,102,66,7
175,102,66,8
176,102,66,9
177,102,67,10
178,103,68,10
179,104,68,9
180,105,69,9
181,106,69,8
182,107,69,8
183,107,69,8
184,107,69,9
185,109,69,10
186,112,70,9
187,113,70,6
188,113,70,6
189,113,70,7
190,113,70,8
191,113,70,9
192,116,70,10
193,116,71,8
194,116,72,8
195,117,72,8
196,119,72,8
197,119,72,7
198,119,72,8
199,119,72,9
200,120,73,10
201,120,74,9
202,120,74,9
203,121,74,10
204,121,75,10
205,122,75,10
206,122,76,10
207,123,77,10
208,124,77,9
209,125,78,9
210,126,78,8
211,126,79,8
212,127,79,8
213,127,79,8
214,130,79,9
215,131,79,7
216,131,79,7
217,131,80,8
218,131,80,8
219,131,80,9
220,131,81,10
221,132,81,10
222,133,82,10
223,134,82,9
224,136,82,9
225,137,82,8
226,137,82,8
227,138,82,9
228,139,82,9
229,142,82,9
230,142,82,7
231,144,82,8
232,144,82,7
233,144,82,8
234,144,82,9
235,144,83,10
236,147,83,10
237,149,83,8
238,150,84,7
239,150,84,6
240,150,84,7
241,150,84,8
242,152,84,9
243,153,84,8
244,153,85,8
245,154,85,8
246,156,85,8
247,156,85,7
248,156,86,8
249,157,86,8
250,157,86,8
251,159,87,9
252,160,87,7
253,161,87,7
254,162,87,7
255,164,87,7
256,167,87,6
257,167,87,4
258,167,87,5
259,167,87,6
260,167,87,7
261,168,87,8
262,169,87,8
263,169,88,8
264,172,88,8
265,172,88,6
266,172,88,7
267,172,88,8
268,173,88,9
269,173,89,9
270,174,90,9
271,175,90,8
272,176,91,8
273,176,91,7
274,177,91,8
