time_step,served_cumulative,expired_cumulative,queued_current
398,261,130,9
399,262,130,9
400,262,131,9
401,262,131,9
402,262,132,10
403,262,133,10
404,263,133,10
405,263,134,10
406,265,135,10
407,265,135,8
408,265,136,9
409,267,136,9
410,267,136,8
411,267,137,9
412,267,137,9
413,268,138,10
414,270,138,9
415,270,139,8
416,270,139,8
417,270,139,9
418,270,140,10
419,270,141,10
420,273,141,10
421,274,141,8
422,274,142,8
423,275,142,8
424,276,142,8
425,276,142,8
426,277,142,9
427,277,143,9
428,277,143,9
429,278,143,10
430,279,144,10
431,279,145,9
432,280,145,9
433,281,145,9
434,281,146,9
435,281,147,9
436,281,147,9
437,282,147,10
438,284,148,10
439,284,149,8
440,284,149,8
441,284,150,9
442,284,150,9
443,284,151,10
444,284,152,10
445,284,153,10
446,285,154,10
447,285,155,9
448,285,156,9
449,286,156,9
450,286,157,9
451,286,157,9
452,286,158,10
453,287,159,10
454,288,160,9
455,288,160,8
456,289,161,9
457,289,161,8
458,289,161,9
459,290,161,10
460,290,162,10
461,292,162,10
462,292,163,9
463,293,164,9
464,293,165,8
465,294,165,8
466,295,165,8
467,297,165,8
468,297,165,7
469,297,165,8
470,297,166,9
471,298,166,9
472,298,166,9
473,300,167,10
474,301,167,8
475,302,168,8
476,302,168,7
477,304,168,8
478,304,168,7
479,304,168,8
480,307,169,9
481,307,169,6
482,308,169,7
483,309,169,7
484,310,169,7
485,311,169,7
486,311,169,7
487,311,169,8
488,312,169,9
489,313,170,9
490,315,170,8
491,315,170,7
492,315,170,8
493,316,170,9
494,318,171,9
495,318,171,7
496,319,171,8
497,319,171,8
498,320,171,9
499,321,171,9
500,321,172,9
501,324,172,9
502,324,172,7
503,325,173,8
504,327,173,7
505,327,173,6
506,329,173,7
507,329,173,6
508,330,173,7
509,331,173,7
510,331,173,7
511,331,173,8
512,333,173,9
513,334,174,8
514,335,174,7
515,335,174,7
516,336,174,8
517,337,174,8
518,337,174,8
519,337,174,9
520,337,175,10
521,339,175,10
522,340,175,9
523,341,175,9
524,343,175,9
525,344,175,8
526,344,175,8
527,344,175,9
528,345,176,10
529,345,176,9
530,346,177,10
531,346,177,9
532,346,178,10
533,346,179,10
534,346,180,10
535,348,181,10
536,348,181,8
537,348,182,9
538,349,182,9
539,350,182,9
